Date,bond
2004-04,2.04875
2004-05,2.08585714285714
2004-06,2.1126818181818203
2004-07,2.11604545454546
2004-08,2.1142727272727297
2004-09,2.1185909090909094
2004-10,2.1473333333333295
2004-11,2.1703181818181796
2004-12,2.17317391304348
2005-01,2.14542857142857
2005-02,2.13835
2005-03,2.13719047619048
2005-04,2.1372380952381
2005-05,2.12563636363636
2005-06,2.11104545454545
2005-07,2.1194285714285703
2005-08,2.1324782608695703
2005-09,2.13913636363636
2005-10,2.19661904761905
2005-11,2.36086363636364
2005-12,2.47285714285714
2006-01,2.51168181818182
2006-02,2.60035
2006-03,2.7226086956521702
2006-04,2.79377777777778
2006-05,2.889
2006-06,2.98568181818182
2006-07,3.10219047619048
2006-08,3.2264782608695697
2006-09,3.3353809523809503
2006-10,3.502
2006-11,3.59718181818182
2006-12,3.6842105263157903
2007-01,3.7518636363636406
2007-02,3.8182
2007-03,3.8909090909090898
2007-04,3.97526315789474
2007-05,4.071363636363641
2007-06,4.147761904761911
2007-07,4.21618181818182
2007-08,4.5436086956521695
2007-09,4.7417
2007-10,4.687391304347829
2007-11,4.63854545454545
2007-12,4.848368421052631
2008-01,4.48154545454545
2008-02,4.36209523809524
2008-03,4.59636842105263
2008-04,4.7835
2008-05,4.85738095238095
2008-06,4.9405238095238095
2008-07,4.961
2008-08,4.965190476190481
2008-09,5.019181818181821
2008-10,5.11308695652174
2008-11,4.2383
2008-12,3.2926190476190493
2009-01,2.45652380952381
2009-02,1.94305
2009-03,1.63545454545455
2009-04,1.4223
2009-05,1.2817
2009-06,1.22790909090909
2009-07,0.9749565217391308
2009-08,0.860476190476191
2009-09,0.772090909090909
2009-10,0.7375
2009-11,0.7161904761904759
2009-12,0.712045454545454
2010-01,0.6797499999999999
2010-02,0.6617
2010-03,0.6449565217391299
2010-04,0.6447
2010-05,0.6865238095238099
2010-06,0.727590909090909
2010-07,0.848818181818182
2010-08,0.8954999999999999
2010-09,0.8805
2010-10,0.997666666666667
2010-11,1.0420454545454498
2010-12,1.02169565217391
2011-01,1.0172380952381
2011-02,1.08675
2011-03,1.17552173913043
2011-04,1.32121052631579
2011-05,1.42509090909091
2011-06,1.48859090909091
2011-07,1.59761904761905
2011-08,1.55208695652174
2011-09,1.53645454545455
2011-10,1.57585714285714
2011-11,1.4846818181818202
2011-12,1.42609523809524
2012-01,1.22222727272727
2012-02,1.04828571428571
2012-03,0.8584545454545459
2012-04,0.7443157894736842
2012-05,0.6849090909090911
2012-06,0.6588571428571429
2012-07,0.497045454545455
2012-08,0.3323913043478259
2012-09,0.2462999999999999
2012-10,0.207913043478261
2012-11,0.192
2012-12,0.185473684210526
2013-01,0.204909090909091
2013-02,0.2233499999999999
2013-03,0.20605
2013-04,0.2089047619047619
2013-05,0.201227272727273
2013-06,0.2102499999999999
2013-07,0.221434782608696
2013-08,0.2258636363636359
2013-09,0.223238095238095
2013-10,0.225826086956522
2013-11,0.2233809523809519
2013-12,0.2735
2014-01,0.292045454545455
2014-02,0.2881
2014-03,0.305333333333333
2014-04,0.3297499999999999
2014-05,0.3245714285714289
2014-06,0.2414285714285709
2014-07,0.2050434782608699
2014-08,0.191571428571429
2014-09,0.0970909090909091
2014-10,0.0826086956521738
2014-11,0.0809
2014-12,0.0809047619047619
2015-01,0.0626666666666667
2015-02,0.0482
2015-03,0.0271818181818182
2015-04,0.0047
2015-05,-0.0103684210526316
2015-06,-0.0139090909090909
2015-07,-0.0187391304347826
2015-08,-0.0276666666666667
2015-09,-0.0370454545454546
2015-10,-0.0535909090909091
2015-11,-0.0876190476190476
2015-12,-0.126318181818182
2016-01,-0.14615
2016-02,-0.183571428571429
2016-03,-0.2285238095238099
2016-04,-0.2491904761904759
2016-05,-0.2571818181818179
2016-06,-0.2679090909090909
2016-07,-0.2945238095238089
2016-08,-0.2982173913043479
2016-09,-0.3016363636363639
2016-10,-0.309
2016-11,-0.312681818181818
2016-12,-0.315761904761905
2017-01,-0.325545454545455
2017-02,-0.3286
2017-03,-0.3293478260869569
2017-04,-0.330388888888889
2017-05,-0.329454545454545
2017-06,-0.33
2017-07,-0.330428571428571
2017-08,-0.329086956521739
2017-09,-0.329380952380952
2017-10,-0.3295454545454549
2017-11,-0.3289999999999999
2017-12,-0.3278947368421049
2018-01,-0.328454545454546
2018-02,-0.3285
2018-03,-0.3279047619047619
2018-04,-0.32845
2018-05,-0.3252272727272729
2018-06,-0.3220476190476189
2018-07,-0.3207272727272729
2018-08,-0.319
2018-09,-0.31885
2018-10,-0.3176956521739129
2018-11,-0.316363636363636
